prop_id,crop,class_code,suitability_group,suitability_score,street,suburb,state,postcode,full_address,latitude,longitude
1,Tall.Fescue.Mediterranean,9048,Unsuitable,0,401 Bresnehans Road,Little Swanport,TAS,7190,401 Bresnehans Road Little Swanport TAS 7190 Australia,-42.3179281,147.9330656
1,Wheat,27988,Unsuitable,0,401 Bresnehans Road,Little Swanport,TAS,7190,401 Bresnehans Road Little Swanport TAS 7190 Australia,-42.3179281,147.9330656
1,White.Clover,11525,Unsuitable,0,401 Bresnehans Road,Little Swanport,TAS,7190,401 Bresnehans Road Little Swanport TAS 7190 Australia,-42.3179281,147.9330656
2,Barley,22639,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Blueberries..nhb.,59898,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Blueberries..shb.,59518,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Carrot.seed,53933,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Carrots,57192,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Cherries,490266,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Cocksfoot.Continental,8794,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Cocksfoot.Mediterranean,8794,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Enterprise.Versatility.Index,17996,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Enterprise.Versatility.Index...Pastures,20,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Eucalyptus.Globulus,244024,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Eucalyptus.Nitens,156298,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Hazelnuts,356174,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Industrial.Hemp,6353,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Linseed,12233,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
2,Lucerne,18197,Unsuitable,0,111 Nubeena Road,Taranna,TAS,7180,111 Nubeena Road Taranna TAS 7180 Australia,-43.0572548,147.8512975
