PID,POT_PID,full_address,parcel_wkt,address_wkt
7166054,0,36 Reids Road Irishtown TAS 7330 Australia,"MULTIPOLYGON (((345974.4179999993 5470466.532, 345974.45299999893 5470446.419, 345628.75299999915 5470447.079000001, 345628.79400000034 5470467.192, 345974.4179999993 5470466.532)))",POINT (345756.08139999956 5470295.3584)
5273454,0,401 Bresnehans Road Little Swanport TAS 7190 Australia,"MULTIPOLYGON (((574433.4970000015 5314883.759000001, 574341.2389999997 5314471.966, 574206.0000000012 5314502.363, 574035.0860000007 5314540.779000001, 574035.0000000008 5314540.797000001, 573874.7059999998 5314574.221000001, 573959.8499999996 5314983.019999999, 574433.4970000015 5314883.759000001)))",POINT (574163.0524000004 5314734.6121)
1957664,0,3470 North Road Egg Lagoon TAS 7256 Australia,"MULTIPOLYGON (((240735.6649999991 5604416.600000001, 240497.7009999999 5604441.790000001, 240560.9829999999 5605002.282999999, 240480.85500000068 5605199.766, 240463.87399999902 5605313.383, 240768.55299999999 5605282.356999999, 240757.73900000108 5605054.364, 240735.6649999991 5604416.600000001)))",POINT (240635.9249999998 5604879.9718)
7254038,0,3 Stevenson Road Lower Barrington TAS 7306 Australia,"MULTIPOLYGON (((442362.8450000001 5429247.404, 442478.40599999996 5429227.625, 442770.69500000135 5429177.598, 442753.04600000114 5429137.333, 442748.8329999993 5429126.551, 442745.41899999883 5429113.892000001, 442744.6509999997 5429109.648999999, 442744.02200000035 5429043.328000001, 442743.37700000056 5429039.772, 442719.423000001 5428974.822, 442708.2720000009 5428952.549, 442702.75799999933 5428935.786999999, 442693.9150000006 5428920.955999999, 442413.3130000008 5428967.863999999, 442305.72199999925 5428985.850000001, 442300.9279999997 5428986.641000001, 442317.4429999994 5429097.475, 442178.2640000001 5429092.895, 442177.00100000086 5429084.849999999, 442119.9650000009 5429084.124, 442121.24000000104 5429092.140999999, 442126.6130000007 5429125.933, 442162.1050000008 5429125.438, 442220.34199999983 5429141.494, 442251.20700000157 5429157.955000001, 442263.41600000137 5429166.114999999, 442278.3009999993 5429178.876000001, 442292.86400000006 5429196.579999999, 442354.79299999925 5429248.782, 442362.8450000001 5429247.404)))",POINT (442493.6052000001 5429095.1979)
9884363,0,167 Adams Road Lebrina TAS 7254 Australia,"MULTIPOLYGON (((519223.36800000083 5444350.195, 519165.2630000012 5444298.893000001, 519132.8600000014 5444325.306000001, 519092.76300000085 5444332.252999999, 519089.32900000026 5444312.443000001, 519087.34800000116 5444312.786000001, 519052.75900000054 5444262.101999999, 518888.33200000017 5444222.204000001, 518792.18599999894 5444194.926, 518791.06700000016 5444231.238999999, 518815.64700000046 5444359.839999999, 518817.80399999884 5444371.129000001, 518935.49400000006 5444533.3719999995, 518972.24899999925 5444506.774999999, 519143.330000001 5444393.937000001, 519223.36800000083 5444350.195)))",POINT (518386.43649999984 5444380.8647)
6472009,0,105 Saltwood Road Pipers Brook TAS 7254 Australia,"MULTIPOLYGON (((518910.7589999995 5457234.266, 518862.34700000007 5457138.217999999, 518816.9130000004 5457054.85, 518447.96199999936 5456761.332999999, 517735.26299999945 5457550.639, 517730.67700000014 5457555.718, 517606.35800000036 5457693.398999999, 518108.80700000026 5458135.5819999995, 518910.7589999995 5457234.266)))",POINT (518276.63329999987 5457445.4606)
2037253,0,301 Moriarty Road Moriarty TAS 7307 Australia,"MULTIPOLYGON (((454252.52299999935 5436483.749000001, 454598.8909999998 5436419.77, 454564.40300000086 5436311.714, 454504.04200000095 5436293.869, 454500.33099999954 5436278.866000001, 454549.22099999967 5436203.499, 454557.2809999997 5436183.661999999, 454595.0960000006 5436073.154000001, 454580.5890000006 5436065.074999999, 454431.54899999883 5435943.808999999, 454376.704999999 5435957.001000001, 454319.6919999999 5435944.369999999, 454316.90699999884 5435942.4290000005, 454331.14800000016 5435998.741000001, 454315.978 5436056.588000001, 454246.73199999915 5436057.558000001, 454177.102000001 5436039.235000001, 454172.82499999925 5436038.108999999, 454172.69699999935 5436037.334, 454047.4409999994 5436049.608999999, 454056.65500000014 5436114.376, 454063.01000000094 5436155.001, 454067.1840000013 5436183.663, 454072.57900000096 5436226.074999999, 454111.03300000005 5436485.613, 453928.5600000003 5436512.722, 453936.7240000005 5436531.533, 454113.8629999999 5436504.941000001, 454252.52299999935 5436483.749000001)))",POINT (454316.3035000004 5436239.0659)
9786609,0,245 Smarts Road Mount Hicks TAS 7325 Australia,"MULTIPOLYGON (((390400.1160000001 5450649.558000001, 390534.9410000001 5450648.586999999, 390601.16999999975 5450648.752000001, 390687.01300000044 5450639.789, 390696.9970000001 5450594.711, 390769.6949999996 5450559.413, 390769.7710000004 5450183.456000001, 390771.3750000004 5450055.769999999, 390774.4609999999 5450001.308000001, 390778.12900000025 5449997.519000001, 390776.34200000064 5449993.983999999, 390676.21300000005 5450006.9799999995, 390658.2950000004 5450008.585000001, 390572.71399999876 5450012.608, 390390.3750000004 5450013.397, 390373.1209999997 5449996.49, 390103.7520000001 5450001.546999999, 390159.8989999993 5450183.4569999995, 390256.85200000106 5450497.567, 390255.85399999947 5450559.891000001, 390255.67299999966 5450571.136, 390265.9469999999 5450576.040999999, 390292.7960000001 5450588.023, 390321.5689999999 5450589.730000001, 390334.6230000007 5450614.496, 390362.262 5450637.950000001, 390400.1160000001 5450649.558000001)), ((390769.61099999957 5450756.669, 390769.68500000064 5450581.784999999, 390714.5380000005 5450608.561, 390705.63000000094 5450648.775999999, 390769.61099999957 5450756.669)), ((390769.5920000004 5450802.023999999, 390687.66399999964 5450659.951, 390602.19199999876 5450668.875000001, 390534.9880000007 5450668.707, 390397.1710000002 5450669.699999999, 390352.4020000006 5450655.971, 390318.63800000085 5450627.321000001, 390309.0569999998 5450609.143, 390287.945000001 5450607.890999999, 390257.51200000045 5450594.309, 390255.3189999992 5450593.262, 390253.3700000011 5450714.997000001, 390248.20199999865 5451083.884999999, 390239.5019999994 5451704.981999999, 390765.7210000003 5451706.629999999, 390767.5930000009 5451439.524, 390769.0570000001 5451230.577, 390769.1339999997 5451219.449, 390769.554 5450892.321999999, 390769.5920000004 5450802.023999999)))",POINT (390496.5395999998 5451233.1653)
3138822,0,54 Thorpe Road Crabtree TAS 7109 Australia,"MULTIPOLYGON (((507254.06200000085 5244126.936999999, 507285.0070000009 5244078.256, 507310.7350000002 5244039.631, 507341.4660000005 5243999.829000001, 507315.22300000093 5243857.056, 507377.12499999965 5243813.5600000005, 507649.25199999986 5243621.761999999, 507453.075000001 5243511.349999999, 507429.6090000012 5243437.931000001, 507022.5519999998 5243517.905, 507096.0440000001 5243901.481999999, 507172.2010000008 5243884.961, 507222.89400000114 5244133.176999999, 507254.06200000085 5244126.936999999)))",POINT (507282.6693000002 5243703.8173)
7854105,0,121 Saunders Drive Hadspen TAS 7290 Australia,"MULTIPOLYGON (((507421.674999999 5404752.137, 507381.2699999998 5404674.762999999, 507351.95600000024 5404646.79, 507027.0090000004 5404716.352000001, 506947.3350000001 5404766.872, 506859.83999999997 5404841.911000001, 506854.6220000007 5404846.405000001, 506951.9759999991 5404966.015999999, 507039.2989999994 5405071.857, 507205.1309999996 5404936.265, 507276.520999999 5404878.41, 507394.3570000004 5404775.5370000005, 507421.674999999 5404752.137)))",POINT (507130.98060000036 5404831.5904)
